epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.23645833134651184,,0.4859375059604645,,0.20774945616722107,,3.5525028705596924,,,,,
1,,29,,,,,0.5848958492279053,,0.8604166507720947,,0.5497235059738159,,3.388857841491699,,,,,
2,,44,,,,,0.6307291388511658,,0.8812500238418579,,0.5890189409255981,,3.2371246814727783,,,,,
3,0.09799999743700027,49,,,,,,0.671875,,0.921875,,0.6236024498939514,,3.1032538414001465,,,,
3,,49,0.6936191916465759,0.9248255491256714,0.6432897448539734,3.0636870861053467,,,,,,,,,0.7799999713897705,0.925000011920929,0.7282277941703796,3.0249173641204834
3,,59,,,,,0.682812511920929,,0.8968750238418579,,0.6329009532928467,,3.074488401412964,,,,,
4,,74,,,,,0.6729166507720947,,0.9307291507720947,,0.6143015027046204,,2.934192419052124,,,,,
5,,89,,,,,0.6875,,0.9322916865348816,,0.6190669536590576,,2.7957112789154053,,,,,
6,0.1979999989271164,99,,,,,,0.65625,,0.96875,,0.578951895236969,,2.7110090255737305,,,,
6,,99,0.7227140069007874,0.959847092628479,0.6370549201965332,2.582364797592163,,,,,,,,,0.7950000166893005,0.9649999737739563,0.7040790319442749,2.5129082202911377
6,,104,,,,,0.706250011920929,,0.9468749761581421,,0.6267406344413757,,2.6625304222106934,,,,,
7,,119,,,,,0.707812488079071,,0.9416666626930237,,0.6161631345748901,,2.5422680377960205,,,,,
8,,134,,,,,0.7098958492279053,,0.9375,,0.607721745967865,,2.435582160949707,,,,,
9,0.2980000078678131,149,,,,,,0.625,,0.90625,,0.5012512803077698,,2.350508213043213,,,,
9,,149,0.7372742295265198,0.9668514132499695,0.6034897565841675,2.1832258701324463,,,,,,,,,0.800000011920929,0.9800000190734863,0.6561816930770874,2.0914547443389893
9,,149,,,,,0.7192708253860474,,0.9447916746139526,,0.6018386483192444,,2.320857524871826,,,,,
10,,164,,,,,0.7302083373069763,,0.949999988079071,,0.5979951024055481,,2.218987226486206,,,,,
