epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.2057291716337204,,2.2512407302856445,,,
1,,29,,,0.21458333730697632,,2.1759164333343506,,,
2,,44,,,0.25,,2.122434377670288,,,
3,9.7999996796716e-05,49,,,,0.265625,,2.0812315940856934,,
3,,49,0.2607493996620178,2.1166112422943115,,,,,0.25999999046325684,2.019077777862549
3,,59,,,0.2796874940395355,,2.077120542526245,,,
4,,74,,,0.3046875,,2.0382299423217773,,,
5,,89,,,0.3682291805744171,,1.9814585447311401,,,
6,0.00019799999427050352,99,,,,0.359375,,1.9296538829803467,,
6,,99,0.34441542625427246,1.9710721969604492,,,,,0.4749999940395355,1.7637630701065063
6,,104,,,0.4208333194255829,,1.9196741580963135,,,
7,,119,,,0.4427083432674408,,1.840651035308838,,,
8,,134,,,0.5,,1.7441648244857788,,,
9,0.00029799999902024865,149,,,,0.515625,,1.652806282043457,,
9,,149,0.4920531213283539,1.6246322393417358,,,,,0.6899999976158142,1.3580806255340576
9,,149,,,0.5401041507720947,,1.656381368637085,,,
10,,164,,,0.5880208611488342,,1.546966552734375,,,
11,,179,,,0.6348958611488342,,1.4261877536773682,,,
12,,194,,,0.6734374761581421,,1.3461917638778687,,,
13,0.0003980000037699938,199,,,,0.78125,,1.182761549949646,,
13,,199,0.60667484998703,1.2215272188186646,,,,,0.7900000214576721,0.9167931079864502
13,,209,,,0.7411458492279053,,1.2007842063903809,,,
14,,224,,,0.7786458134651184,,1.076099157333374,,,
15,,239,,,0.824999988079071,,0.9867787957191467,,,
16,0.0004980000085197389,249,,,,0.859375,,0.8479239344596863,,
16,,249,0.7339527010917664,0.86235111951828,,,,,0.8799999952316284,0.5143009424209595
16,,254,,,0.8432291746139526,,0.9184635877609253,,,
17,,269,,,0.8895833492279053,,0.8584362268447876,,,
18,,284,,,0.9078124761581421,,0.8214255571365356,,,
19,0.000598000013269484,299,,,,0.890625,,0.766012966632843,,
19,,299,0.7750946879386902,0.7248787879943848,,,,,0.9350000023841858,0.3281891942024231
19,,299,,,0.9286458492279053,,0.7735605835914612,,,
20,,314,,,0.9546874761581421,,0.7253220081329346,,,
21,,329,,,0.9645833373069763,,0.6919782757759094,,,
22,,344,,,0.9671875238418579,,0.6616258025169373,,,
23,0.0006980000180192292,349,,,,1.0,,0.6115535497665405,,
23,,349,0.7956081032752991,0.6866938471794128,,,,,0.9700000286102295,0.2580461800098419
23,,359,,,0.9765625,,0.6470418572425842,,,
24,,374,,,0.984375,,0.618643045425415,,,
25,,389,,,0.9895833134651184,,0.6007775664329529,,,
26,0.0007980000227689743,399,,,,1.0,,0.5791536569595337,,
26,,399,0.7996007204055786,0.6599053144454956,,,,,0.9850000143051147,0.17398382723331451
26,,404,,,0.987500011920929,,0.5931872129440308,,,
27,,419,,,0.9911458492279053,,0.5754257440567017,,,
28,,434,,,0.995312511920929,,0.5575510859489441,,,
29,0.0008980000275187194,449,,,,1.0,,0.5430788993835449,,
29,,449,0.8137285113334656,0.6317201852798462,,,,,0.9950000047683716,0.13463304936885834
29,,449,,,0.9958333373069763,,0.5471720099449158,,,
30,,464,,,0.9979166388511658,,0.5399705171585083,,,
31,,479,,,0.9989583492279053,,0.5332276821136475,,,
32,,494,,,0.9989583492279053,,0.5292037129402161,,,
33,0.0009980000322684646,499,,,,1.0,,0.5268259644508362,,
33,,499,0.818130612373352,0.6261244416236877,,,,,1.0,0.1119609996676445
33,,509,,,0.9989583492279053,,0.5257904529571533,,,
34,,524,,,0.9989583492279053,,0.5219356417655945,,,
35,,539,,,0.9989583492279053,,0.5199402570724487,,,
36,0.00099905242677778,549,,,,1.0,,0.5201212167739868,,
36,,549,0.8196278214454651,0.6249989867210388,,,,,1.0,0.10615342855453491
36,,554,,,1.0,,0.5169662237167358,,,
37,,569,,,0.9989583492279053,,0.5159649848937988,,,
38,,584,,,0.9989583492279053,,0.5151523351669312,,,
39,0.000996135757304728,599,,,,1.0,,0.5129439234733582,,
39,,599,0.8193591237068176,0.6310877799987793,,,,,1.0,0.10164202749729156
39,,599,,,1.0,,0.5138223171234131,,,
40,,614,,,1.0,,0.5126109719276428,,,
41,,629,,,1.0,,0.5116130113601685,,,
42,,644,,,1.0,,0.5109409689903259,,,
43,0.000991260982118547,649,,,,1.0,,0.5090039968490601,,
43,,649,0.8193463683128357,0.6358537077903748,,,,,1.0,0.10088512301445007
43,,659,,,1.0,,0.5103847980499268,,,
44,,674,,,1.0,,0.5096310973167419,,,
45,,689,,,1.0,,0.5091717839241028,,,
46,0.0009844474261626601,699,,,,1.0,,0.5086785554885864,,
46,,699,0.820190966129303,0.6358287930488586,,,,,1.0,0.10103681683540344
46,,704,,,1.0,,0.5086811184883118,,,
47,,719,,,1.0,,0.5076889395713806,,,
48,,734,,,1.0,,0.5078383088111877,,,
49,0.0009757220395840704,749,,,,1.0,,0.5082329511642456,,
