epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.20364584028720856,,3.283834218978882,,,
1,,29,,,0.23020833730697632,,2.4272754192352295,,,
2,,44,,,0.2593750059604645,,2.0381898880004883,,,
3,6.859999848529696e-05,49,,,,0.3125,,1.8881721496582031,,
3,,49,0.2804190218448639,1.8895900249481201,,,,,0.26499998569488525,1.8976151943206787
3,,59,,,0.2838541567325592,,1.8918486833572388,,,
4,,74,,,0.27656251192092896,,1.8158652782440186,,,
5,,89,,,0.2796874940395355,,1.7857896089553833,,,
6,0.00013859999307896942,99,,,,0.3125,,1.7773621082305908,,
6,,99,0.2891766130924225,1.7418067455291748,,,,,0.28999999165534973,1.7431057691574097
6,,104,,,0.2822916805744171,,1.761156678199768,,,
7,,119,,,0.29114583134651184,,1.739219307899475,,,
8,,134,,,0.29635417461395264,,1.722693920135498,,,
9,0.0002086000022245571,149,,,,0.25,,1.7257912158966064,,
9,,149,0.31111013889312744,1.6917396783828735,,,,,0.33000001311302185,1.6863484382629395
9,,149,,,0.32604166865348816,,1.7122896909713745,,,
10,,164,,,0.3151041567325592,,1.6917608976364136,,,
11,,179,,,0.32239583134651184,,1.6807975769042969,,,
12,,194,,,0.3401041626930237,,1.664971947669983,,,
13,0.00027859999681822956,199,,,,0.3125,,1.6474254131317139,,
13,,199,0.32612067461013794,1.6413938999176025,,,,,0.36500000953674316,1.6275129318237305
13,,209,,,0.34166666865348816,,1.6576584577560425,,,
14,,224,,,0.3322916626930237,,1.6415355205535889,,,
15,,239,,,0.3421874940395355,,1.6093330383300781,,,
16,0.00034860000596381724,249,,,,0.296875,,1.6923091411590576,,
16,,249,0.3444463908672333,1.5708043575286865,,,,,0.3400000035762787,1.5737652778625488
16,,254,,,0.3671875,,1.5825655460357666,,,
17,,269,,,0.3552083373069763,,1.5585609674453735,,,
18,,284,,,0.38229167461395264,,1.5490533113479614,,,
19,0.00041859998600557446,299,,,,0.390625,,1.4976415634155273,,
19,,299,0.3730863928794861,1.4975910186767578,,,,,0.375,1.508888840675354
19,,299,,,0.38749998807907104,,1.5300332307815552,,,
20,,314,,,0.3864583373069763,,1.5049058198928833,,,
21,,329,,,0.4026041626930237,,1.4743798971176147,,,
22,,344,,,0.41874998807907104,,1.456128478050232,,,
23,0.0004885999951511621,349,,,,0.34375,,1.6013994216918945,,
23,,349,0.37545353174209595,1.4611033201217651,,,,,0.36500000953674316,1.4792964458465576
23,,359,,,0.3958333432674408,,1.466910719871521,,,
24,,374,,,0.4255208373069763,,1.4478727579116821,,,
25,,389,,,0.42760416865348816,,1.4243000745773315,,,
26,0.0005586000042967498,399,,,,0.359375,,1.4013185501098633,,
26,,399,0.3792397975921631,1.4437804222106934,,,,,0.38999998569488525,1.4377881288528442
26,,404,,,0.4098958373069763,,1.4349421262741089,,,
27,,419,,,0.4229166805744171,,1.4070771932601929,,,
28,,434,,,0.41614583134651184,,1.3954577445983887,,,
29,0.0006286000134423375,449,,,,0.421875,,1.4120599031448364,,
29,,449,0.4067825675010681,1.3852604627609253,,,,,0.4699999988079071,1.3306993246078491
