epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.5276041626930237,,1.0,,0.345722496509552,,1.135719895362854,,,,,
1,,29,,,,,0.5427083373069763,,1.0,,0.3471067547798157,,1.1086384057998657,,,,,
2,,44,,,,,0.6598958373069763,,1.0,,0.21643966436386108,,0.7760545015335083,,,,,
3,0.17640000581741333,49,,,,,,0.625,,1.0,,0.23845328390598297,,0.8055143356323242,,,,
3,,49,0.61663818359375,1.0,0.240192249417305,0.7744343876838684,,,,,,,,,0.675000011920929,1.0,0.1785833239555359,0.6370528936386108
3,,59,,,,,0.6260416507720947,,1.0,,0.23685163259506226,,0.803305983543396,,,,,
4,,74,,,,,0.668749988079071,,1.0,,0.21147863566875458,,0.7397091388702393,,,,,
5,,89,,,,,0.6578124761581421,,1.0,,0.23316140472888947,,0.7723949551582336,,,,,
6,0.3564000129699707,99,,,,,,0.734375,,1.0,,0.16334986686706543,,0.6340951323509216,,,,
6,,99,0.695404052734375,1.0,0.16132764518260956,0.6163962483406067,,,,,,,,,0.7900000214576721,1.0,0.1088225468993187,0.4672137498855591
6,,104,,,,,0.6390625238418579,,1.0,,0.2394789755344391,,0.8292368054389954,,,,,
7,,119,,,,,0.6989583373069763,,1.0,,0.19833172857761383,,0.7394409775733948,,,,,
8,,134,,,,,0.6729166507720947,,1.0,,0.22254246473312378,,0.7881790995597839,,,,,
9,0.5364000201225281,149,,,,,,0.71875,,1.0,,0.12015649676322937,,0.5441446304321289,,,,
9,,149,0.77532958984375,1.0,0.10789644718170166,0.4782522916793823,,,,,,,,,0.824999988079071,1.0,0.09624528884887695,0.39624178409576416
9,,149,,,,,0.660937488079071,,1.0,,0.2230604737997055,,0.7942454218864441,,,,,
10,,164,,,,,0.6947916746139526,,1.0,,0.18851740658283234,,0.7037738561630249,,,,,
11,,179,,,,,0.6786458492279053,,1.0,,0.19134651124477386,,0.6719799041748047,,,,,
12,,194,,,,,0.7026041746139526,,1.0,,0.17175303399562836,,0.6338376402854919,,,,,
13,0.7164000272750854,199,,,,,,0.609375,,1.0,,0.2066999226808548,,0.8829717040061951,,,,
13,,199,0.662841796875,1.0,0.17889662086963654,0.6385682821273804,,,,,,,,,0.6700000166893005,1.0,0.21606923639774323,0.6135962009429932
13,,209,,,,,0.7203124761581421,,1.0,,0.15254800021648407,,0.5899387001991272,,,,,
14,,224,,,,,0.7088541388511658,,1.0,,0.1583150327205658,,0.5853208899497986,,,,,
