epoch,lr,step,test_acc,test_acc_top5,test_ece,test_loss,train_acc_epoch,train_acc_step,train_acc_top5_epoch,train_acc_top5_step,train_ece_epoch,train_ece_step,train_loss_epoch,train_loss_step,val_acc,val_acc_top5,val_ece,val_loss
0,,14,,,,,0.5135416388511658,,0.8854166865348816,,0.28644421696662903,,1.728988528251648,,,,,
1,,29,,,,,0.7505208253860474,,0.9848958253860474,,0.3263370394706726,,1.0919831991195679,,,,,
2,,44,,,,,0.7989583611488342,,0.9880208373069763,,0.2745324373245239,,0.8758067488670349,,,,,
3,0.24500000476837158,49,,,,,,0.84375,,0.984375,,0.3093862533569336,,0.7815874814987183,,,,
3,,49,0.8082720637321472,0.9922794103622437,0.2634024918079376,0.8040710687637329,,,,,,,,,0.875,1.0,0.315513014793396,0.7391431331634521
3,,59,,,,,0.801562488079071,,0.9901041388511658,,0.2365807443857193,,0.7771993279457092,,,,,
4,,74,,,,,0.8265625238418579,,0.9958333373069763,,0.20661360025405884,,0.6736457347869873,,,,,
5,,89,,,,,0.8453124761581421,,0.9932291507720947,,0.18914827704429626,,0.6073135733604431,,,,,
6,0.4950000047683716,99,,,,,,0.890625,,1.0,,0.2177596539258957,,0.4869915843009949,,,,
6,,99,0.839828372001648,0.9943014979362488,0.18357014656066895,0.5855739116668701,,,,,,,,,0.9150000214576721,1.0,0.22202247381210327,0.49114635586738586
6,,104,,,,,0.8473958373069763,,0.995312511920929,,0.1742015779018402,,0.5670671463012695,,,,,
7,,119,,,,,0.856249988079071,,0.9937499761581421,,0.16283339262008667,,0.527428388595581,,,,,
8,,134,,,,,0.8697916865348816,,0.995312511920929,,0.1579081267118454,,0.4850693941116333,,,,,
9,0.7450000047683716,149,,,,,,0.890625,,1.0,,0.12083541601896286,,0.3974699378013611,,,,
9,,149,0.876348078250885,0.9976102709770203,0.1500898003578186,0.44927507638931274,,,,,,,,,0.9350000023841858,1.0,0.15946540236473083,0.3336837887763977
9,,149,,,,,0.8802083134651184,,0.9947916865348816,,0.14710502326488495,,0.45070040225982666,,,,,
10,,164,,,,,0.887499988079071,,0.9979166388511658,,0.14303748309612274,,0.40066561102867126,,,,,
11,,179,,,,,0.8895833492279053,,1.0,,0.12930312752723694,,0.38504722714424133,,,,,
12,,194,,,,,0.9005208611488342,,1.0,,0.12467285990715027,,0.36450615525245667,,,,,
13,0.9950000047683716,199,,,,,,0.828125,,1.0,,0.1538914442062378,,0.40867799520492554,,,,
13,,199,0.8804534077644348,0.9963235259056091,0.12886427342891693,0.4110807180404663,,,,,,,,,0.9599999785423279,1.0,0.14275074005126953,0.256257563829422
13,,209,,,,,0.8963541388511658,,0.995312511920929,,0.12517188489437103,,0.36514559388160706,,,,,
14,,224,,,,,0.9057291746139526,,0.9979166388511658,,0.1174059733748436,,0.33829572796821594,,,,,
15,,239,,,,,0.8927083611488342,,0.9958333373069763,,0.10668813437223434,,0.3533477485179901,,,,,
16,1.2450000047683716,249,,,,,,0.90625,,1.0,,0.1258237063884735,,0.3306455910205841,,,,
16,,249,0.8962010145187378,0.997426450252533,0.11001908034086227,0.35509032011032104,,,,,,,,,0.9700000286102295,1.0,0.11975383013486862,0.20201796293258667
16,,254,,,,,0.901562511920929,,1.0,,0.10818564146757126,,0.3221767544746399,,,,,
17,,269,,,,,0.9166666865348816,,0.9989583492279053,,0.11152499169111252,,0.3037216067314148,,,,,
18,,284,,,,,0.9135416746139526,,0.9989583492279053,,0.10037289559841156,,0.28989216685295105,,,,,
19,1.4950000047683716,299,,,,,,0.9375,,1.0,,0.09077581018209457,,0.2671397030353546,,,,
19,,299,0.9055147171020508,0.9977940917015076,0.1002933531999588,0.32578858733177185,,,,,,,,,0.9750000238418579,1.0,0.10695045441389084,0.1735198050737381
19,,299,,,,,0.9041666388511658,,0.9994791746139526,,0.10119055956602097,,0.320405513048172,,,,,
20,,314,,,,,0.9114583134651184,,0.9958333373069763,,0.09018295258283615,,0.30589112639427185,,,,,
21,,329,,,,,0.9072916507720947,,0.9979166388511658,,0.09691858291625977,,0.31562355160713196,,,,,
22,,344,,,,,0.9145833253860474,,1.0,,0.0925305187702179,,0.3012250065803528,,,,,
23,1.7450000047683716,349,,,,,,0.921875,,1.0,,0.09650127589702606,,0.40247422456741333,,,,
23,,349,0.908088207244873,0.9979779124259949,0.09459898620843887,0.29314014315605164,,,,,,,,,0.9850000143051147,1.0,0.10208211094141006,0.1333627551794052
23,,359,,,,,0.9182291626930237,,0.996874988079071,,0.09037275612354279,,0.278014212846756,,,,,
24,,374,,,,,0.925000011920929,,0.9984375238418579,,0.09695091098546982,,0.2742394506931305,,,,,
25,,389,,,,,0.9302083253860474,,0.9989583492279053,,0.09501578658819199,,0.24406607449054718,,,,,
26,1.9950000047683716,399,,,,,,0.9375,,1.0,,0.1243128553032875,,0.22853273153305054,,,,
26,,399,0.9210171699523926,0.9977940917015076,0.08862219005823135,0.2553914189338684,,,,,,,,,0.9900000095367432,1.0,0.0825217217206955,0.09946313500404358
26,,404,,,,,0.9192708134651184,,0.996874988079071,,0.0899796411395073,,0.24496087431907654,,,,,
27,,419,,,,,0.9276041388511658,,0.995312511920929,,0.09019915759563446,,0.25290995836257935,,,,,
28,,434,,,,,0.9432291388511658,,1.0,,0.08011865615844727,,0.20707620680332184,,,,,
29,2.244999885559082,449,,,,,,0.953125,,0.96875,,0.0538015253841877,,0.283748596906662,,,,
29,,449,0.9208333492279053,0.9985294342041016,0.08586414158344269,0.259347140789032,,,,,,,,,0.9900000095367432,1.0,0.07920636236667633,0.09622355550527573
29,,449,,,,,0.9281250238418579,,0.9989583492279053,,0.0787808820605278,,0.2389632910490036,,,,,
30,,464,,,,,0.9385416507720947,,0.9989583492279053,,0.07425036281347275,,0.22184325754642487,,,,,
31,,479,,,,,0.940625011920929,,0.9994791746139526,,0.07201233506202698,,0.2093641608953476,,,,,
32,,494,,,,,0.9395833611488342,,0.995312511920929,,0.08489758521318436,,0.24389347434043884,,,,,
33,2.494999885559082,499,,,,,,0.9375,,1.0,,0.07617795467376709,,0.17976394295692444,,,,
33,,499,0.9178921580314636,0.9992647171020508,0.07816959917545319,0.2488883137702942,,,,,,,,,0.9900000095367432,1.0,0.06106322258710861,0.08125349134206772
33,,509,,,,,0.9395833611488342,,0.9984375238418579,,0.0756123960018158,,0.21181422472000122,,,,,
34,,524,,,,,0.9296875,,0.9989583492279053,,0.0767425149679184,,0.23024706542491913,,,,,
35,,539,,,,,0.9411458373069763,,0.9989583492279053,,0.07227511703968048,,0.20283010601997375,,,,,
36,2.497631072998047,549,,,,,,0.953125,,1.0,,0.06624587625265121,,0.11394461989402771,,,,
