epoch,lr,step,test_acc,test_loss,train_acc_epoch,train_acc_step,train_loss_epoch,train_loss_step,val_acc,val_loss
0,,14,,,0.03489583358168602,,4.581052303314209,,,
1,,29,,,0.1432291716337204,,4.479205131530762,,,
2,,44,,,0.20520833134651184,,4.37940788269043,,,
3,9.7999996796716e-05,49,,,,0.3125,,4.325039386749268,,
3,,49,0.2697054147720337,4.299166202545166,,,,,0.5199999809265137,4.114495754241943
3,,59,,,0.26510417461395264,,4.296076774597168,,,
4,,74,,,0.28177082538604736,,4.209500312805176,,,
5,,89,,,0.30781251192092896,,4.131795883178711,,,
6,0.00019799999427050352,99,,,,0.375,,4.025167942047119,,
6,,99,0.3240445852279663,3.9967079162597656,,,,,0.574999988079071,3.6619622707366943
6,,104,,,0.32760417461395264,,4.060057640075684,,,
7,,119,,,0.31302082538604736,,4.009368419647217,,,
8,,134,,,0.3343749940395355,,3.926629066467285,,,
9,0.00029799999902024865,149,,,,0.328125,,3.789428472518921,,
9,,149,0.3699243664741516,3.7073159217834473,,,,,0.6299999952316284,3.2685775756835938
9,,149,,,0.359375,,3.8295066356658936,,,
10,,164,,,0.4052083194255829,,3.71304988861084,,,
11,,179,,,0.40156251192092896,,3.62500262260437,,,
12,,194,,,0.4296875,,3.5395121574401855,,,
13,0.0003980000037699938,199,,,,0.484375,,3.4167866706848145,,
13,,199,0.4374004900455475,3.3305859565734863,,,,,0.6499999761581421,2.791159152984619
13,,209,,,0.453125,,3.3982725143432617,,,
14,,224,,,0.46145832538604736,,3.291734218597412,,,
15,,239,,,0.5015624761581421,,3.152998208999634,,,
16,0.0004980000085197389,249,,,,0.59375,,2.9639978408813477,,
16,,249,0.5012937784194946,2.8998756408691406,,,,,0.699999988079071,2.30403208732605
16,,254,,,0.5328124761581421,,2.9938788414001465,,,
17,,269,,,0.535937488079071,,2.9101483821868896,,,
18,,284,,,0.5583333373069763,,2.781506061553955,,,
19,0.000598000013269484,299,,,,0.453125,,2.989710807800293,,
19,,299,0.5507563948631287,2.461510419845581,,,,,0.7950000166893005,1.795638084411621
19,,299,,,0.5864583253860474,,2.6600279808044434,,,
20,,314,,,0.5718749761581421,,2.6407344341278076,,,
21,,329,,,0.6166666746139526,,2.4775478839874268,,,
22,,344,,,0.6411458253860474,,2.371030330657959,,,
23,0.0006980000180192292,349,,,,0.65625,,2.308960437774658,,
23,,349,0.5928543210029602,2.111994981765747,,,,,0.8199999928474426,1.4015849828720093
23,,359,,,0.6322916746139526,,2.3264172077178955,,,
